City,PM2.5,PM10,NO2,O3,PM25,Temperature,Humidity,Wind,Rain
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.1,59.0,2.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,31.5,62.0,4.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,31.5,62.0,4.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,31.5,62.0,4.6,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,31.5,62.0,4.6,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,31.5,62.0,4.6,0.0
Ahmedabad,24.9,37.1,37.2,39.0,,31.0,65.0,6.0,0.0
Ahmedabad,24.9,37.1,37.2,39.0,,31.0,65.0,6.0,0.0
Ahmedabad,24.9,37.1,37.2,39.0,,31.0,65.0,6.0,0.0
Ahmedabad,24.9,37.1,37.2,39.0,,31.0,65.0,6.0,0.0
Ahmedabad,24.9,37.1,37.2,39.0,,31.0,65.0,6.0,0.0
Ahmedabad,24.9,37.1,37.2,39.0,,31.0,65.0,6.0,0.0
Ahmedabad,24.9,37.1,37.2,39.0,,31.0,65.0,6.0,0.0
GANDHINAGAR,21.5,34.3,16.7,70.0,,29.9,75.0,9.2,0.0
GANDHINAGAR,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
GANDHINAGAR,21.5,34.3,16.7,70.0,,29.9,75.0,9.2,0.0
GANDHINAGAR,21.5,34.3,16.7,70.0,,29.9,75.0,9.2,0.0
GANDHINAGAR,21.5,34.3,16.7,70.0,,29.9,75.0,9.2,0.0
